mission,direction,heure_th_sceaux,delta_sceaux,heure_th_antony,delta_antony,heure_th_bourg_la_reine,delta_bourg_la_reine,heure_th_chatelet,delta_chatelet,heure_th_aulnay,delta_aulnay,heure_th_cdg1,delta_cdg1,heure_th_vert_galant,delta_vert_galant
ILOT99,Nord,2026-04-16 11:39:38+02:00,15.0,,,2026-04-16 11:41:41+02:00,2.0,2026-04-16 12:02:00+02:00,6.0,2026-04-16 12:24:20+02:00,6.0,,,2026-04-16 12:30:30+02:00,15.0
ERIO01,Nord,,,2026-04-16 11:42:09+02:00,7.0,2026-04-16 11:47:47+02:00,6.0,2026-04-16 12:08:00+02:00,6.0,2026-04-16 12:27:10+02:00,3.0,2026-04-16 12:39:30+02:00,8.0,,
EPAU03,Nord,,,2026-04-16 11:50:19+02:00,8.0,2026-04-16 11:54:46+02:00,7.0,2026-04-16 12:11:00+02:00,3.0,2026-04-16 12:33:10+02:00,6.0,2026-04-16 12:46:50+02:00,7.0,,
ILUS05,Nord,2026-04-16 11:54:38+02:00,15.0,,,2026-04-16 11:56:41+02:00,2.0,2026-04-16 12:17:00+02:00,6.0,2026-04-16 12:39:20+02:00,6.0,,,2026-04-16 12:45:30+02:00,15.0
ERIO07,Nord,,,2026-04-16 11:57:09+02:00,7.0,2026-04-16 12:02:47+02:00,6.0,2026-04-16 12:23:00+02:00,6.0,2026-04-16 12:42:10+02:00,3.0,2026-04-16 12:54:30+02:00,8.0,,
EPAU09,Nord,,,2026-04-16 12:05:19+02:00,8.0,2026-04-16 12:09:46+02:00,7.0,2026-04-16 12:26:00+02:00,3.0,2026-04-16 12:48:10+02:00,6.0,2026-04-16 13:01:50+02:00,7.0,,
ILUS11,Nord,2026-04-16 12:09:38+02:00,15.0,,,2026-04-16 12:11:41+02:00,2.0,2026-04-16 12:32:00+02:00,6.0,2026-04-16 12:54:20+02:00,6.0,,,2026-04-16 13:00:30+02:00,15.0
ERIO13,Nord,,,2026-04-16 12:12:09+02:00,7.0,2026-04-16 12:17:47+02:00,6.0,2026-04-16 12:38:00+02:00,6.0,2026-04-16 12:57:10+02:00,3.0,2026-04-16 13:09:30+02:00,8.0,,
EPAU15,Nord,,,2026-04-16 12:20:19+02:00,8.0,2026-04-16 12:24:46+02:00,7.0,2026-04-16 12:41:00+02:00,3.0,2026-04-16 13:03:10+02:00,6.0,2026-04-16 13:16:50+02:00,7.0,,
ILUS17,Nord,2026-04-16 12:24:38+02:00,15.0,,,2026-04-16 12:26:41+02:00,2.0,2026-04-16 12:47:00+02:00,6.0,2026-04-16 13:09:20+02:00,6.0,,,2026-04-16 13:15:30+02:00,15.0
ERIO19,Nord,,,2026-04-16 12:27:09+02:00,7.0,2026-04-16 12:32:47+02:00,6.0,2026-04-16 12:53:00+02:00,6.0,2026-04-16 13:12:10+02:00,3.0,2026-04-16 13:24:30+02:00,8.0,,
EPAU21,Nord,,,2026-04-16 12:35:19+02:00,8.0,2026-04-16 12:39:46+02:00,7.0,2026-04-16 12:56:00+02:00,3.0,2026-04-16 13:18:10+02:00,6.0,2026-04-16 13:31:50+02:00,7.0,,
ILUS23,Nord,2026-04-16 12:39:38+02:00,15.0,,,2026-04-16 12:41:41+02:00,2.0,2026-04-16 13:02:00+02:00,6.0,2026-04-16 13:24:20+02:00,6.0,,,2026-04-16 13:30:30+02:00,15.0
