date_observation,direction,ecart_moyen,ecart_median,ecart_max
2026-04-14 09:20:07.789886,Sud,8.166666666666666,8.5,23
2026-04-14 09:25:07.711132,Nord,5.55,6.5,12
2026-04-14 09:25:07.711132,Sud,8.333333333333334,9.5,23
2026-04-14 09:30:07.386660,Nord,5.526315789473684,7.0,15
2026-04-14 09:30:07.386660,Sud,7.217391304347826,2.0,23
2026-04-14 09:35:07.680278,Nord,5.944444444444445,7.0,16
2026-04-14 09:35:07.680278,Sud,6.869565217391305,3.0,23
2026-04-14 09:40:09.208625,Nord,5.7,4.5,18
2026-04-14 09:40:09.208625,Sud,5.363636363636363,1.0,23
2026-04-14 09:45:05.532199,Nord,6.333333333333333,5.5,15
2026-04-14 09:45:05.532199,Sud,5.375,1.0,23
2026-04-14 09:50:06.733548,Nord,6.529411764705882,4.0,16
2026-04-14 09:50:06.733548,Sud,4.454545454545454,1.0,23
2026-04-14 09:55:06.989156,Nord,6.555555555555555,4.5,18
2026-04-14 09:55:06.989156,Sud,3.6315789473684212,1.0,23
2026-04-14 10:00:06.964158,Nord,5.9375,3.5,17
2026-04-14 10:00:06.964158,Sud,2.7,0.5,23
2026-04-14 10:05:06.104549,Nord,6.0,3.5,20
2026-04-14 10:05:06.104549,Sud,2.7058823529411766,0.0,23
2026-04-14 10:10:06.209556,Nord,5.684210526315789,4.0,19
2026-04-14 10:10:06.209556,Sud,2.235294117647059,0.0,23
2026-04-14 10:15:06.243188,Nord,5.277777777777778,4.0,19
2026-04-14 10:15:06.243188,Sud,2.2941176470588234,0.0,23
2026-04-14 10:20:05.179245,Nord,5.388888888888889,4.0,19
2026-04-14 10:20:05.179245,Sud,2.0625,0.5,23
2026-04-14 10:25:06.074363,Nord,3.0,2.0,11
2026-04-14 10:25:06.074363,Sud,2.0625,0.0,23
2026-04-14 10:30:06.573429,Nord,2.8,2.0,13
2026-04-14 10:30:06.573429,Sud,0.75,0.0,4
2026-04-14 10:35:06.602327,Nord,1.6153846153846154,2.0,6
2026-04-14 10:35:06.602327,Sud,1.4615384615384615,0.0,10
2026-04-14 10:40:05.571850,Nord,1.2857142857142858,1.0,5
2026-04-14 10:40:05.571850,Sud,1.9285714285714286,0.5,8
2026-04-14 10:45:05.944365,Nord,1.0,0.5,5
2026-04-14 10:45:05.944365,Sud,2.3846153846153846,1.0,8
2026-04-14 10:50:06.291085,Nord,1.0,0.0,5
2026-04-14 10:50:06.291085,Sud,2.230769230769231,1.0,9
2026-04-14 10:55:06.348269,Nord,0.5333333333333333,0.0,2
2026-04-14 10:55:06.348269,Sud,2.7142857142857144,1.5,9
2026-04-14 11:00:05.454595,Nord,0.5,0.0,2
2026-04-14 11:00:05.454595,Sud,3.6923076923076925,4.0,11
2026-04-14 11:05:05.647322,Nord,0.46153846153846156,0.0,2
2026-04-14 11:05:05.647322,Sud,3.357142857142857,3.5,11
2026-04-14 11:10:05.933839,Nord,0.5714285714285714,0.0,2
2026-04-14 11:10:05.933839,Sud,3.2142857142857144,3.0,11
2026-04-14 11:15:05.305200,Nord,0.42857142857142855,0.0,1
2026-04-14 11:15:05.305200,Sud,3.2857142857142856,2.5,11
2026-04-14 11:20:05.668964,Nord,0.5833333333333334,0.5,2
2026-04-14 11:20:05.668964,Sud,3.4285714285714284,2.5,11
2026-04-14 11:25:06.723117,Nord,0.5333333333333333,0.0,2
2026-04-14 11:25:06.723117,Sud,3.2,3.0,11
2026-04-14 11:30:08.390162,Nord,0.5,0.0,2
2026-04-14 11:30:08.390162,Sud,3.3333333333333335,2.0,11
2026-04-14 11:35:08.608425,Nord,0.23076923076923078,0.0,1
2026-04-14 11:35:08.608425,Sud,3.1333333333333333,3.0,11
2026-04-14 11:40:10.221184,Nord,0.14285714285714285,0.0,1
2026-04-14 11:40:10.221184,Sud,2.7857142857142856,2.0,8
2026-04-14 11:45:08.775012,Nord,0.21428571428571427,0.0,1
2026-04-14 11:45:08.775012,Sud,2.466666666666667,1.0,8
2026-04-14 11:50:08.207302,Nord,0.08333333333333333,0.0,1
2026-04-14 11:50:08.207302,Sud,2.2666666666666666,2.0,8
2026-04-14 11:55:09.056714,Nord,0.07142857142857142,0.0,1
2026-04-14 11:55:09.056714,Sud,2.0,2.0,5
2026-04-14 12:00:09.996901,Nord,0.21428571428571427,0.0,2
2026-04-14 12:00:09.996901,Sud,2.0,1.0,5
2026-04-14 12:05:08.675341,Nord,0.14285714285714285,0.0,1
2026-04-14 12:05:08.675341,Sud,1.3846153846153846,1.0,5
2026-04-14 12:10:08.430563,Nord,0.15384615384615385,0.0,1
2026-04-14 12:10:08.430563,Sud,1.2666666666666666,1.0,5
2026-04-14 12:15:08.233214,Nord,0.23076923076923078,0.0,2
2026-04-14 12:15:08.233214,Sud,1.2,0.0,5
2026-04-14 12:20:08.866487,Nord,0.36363636363636365,0.0,3
2026-04-14 12:20:08.866487,Sud,0.9285714285714286,0.5,3
2026-04-14 12:25:08.254580,Nord,0.23076923076923078,0.0,2
2026-04-14 12:25:08.254580,Sud,0.9333333333333333,0.0,3
2026-04-14 12:30:09.256861,Nord,0.38461538461538464,0.0,3
2026-04-14 12:30:09.256861,Sud,1.0,1.0,3
2026-04-14 12:35:09.080103,Nord,0.2727272727272727,0.0,2
2026-04-14 12:35:09.080103,Sud,0.9285714285714286,0.5,3
2026-04-14 12:40:10.621516,Nord,0.3076923076923077,0.0,2
2026-04-14 12:40:10.621516,Sud,1.0,1.0,3
2026-04-14 12:45:09.099185,Nord,0.3076923076923077,0.0,2
2026-04-14 12:45:09.099185,Sud,0.6153846153846154,1.0,2
2026-04-14 12:50:07.671727,Nord,0.25,0.0,1
2026-04-14 12:50:07.671727,Sud,0.5,0.0,2
2026-04-14 12:55:06.912476,Nord,0.15384615384615385,0.0,1
2026-04-14 12:55:06.912476,Sud,0.6666666666666666,1.0,2
2026-04-14 13:00:06.828135,Nord,0.23076923076923078,0.0,2
2026-04-14 13:00:06.828135,Sud,0.35714285714285715,0.0,2
2026-04-14 13:05:05.454237,Nord,0.46153846153846156,0.0,2
2026-04-14 13:05:05.454237,Sud,0.35714285714285715,0.0,2
